Plot Code,Date,state,countyName,Real Latitude,Real Longitude,Hydrologic Regime,Soil Drainage,Water Salinity,Canopy Height (m),Author Location,Area,Elevation(m),Aspect,Slope,Topographic Position,Sampling Level,project,commPrimaryCode,commPrimaryScientific,commPrimaryCommon,commPrimaryDateClassified,commPrimaryFit,soilMapUnit,soilGreatGroup
016-01-0011,06-Jun-1995,South Carolina,Charleston,33.1495385,-79.39575167,,moderately well drained,,23.2,Santee Coastal Wildlife Management Area,1000,7.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,Chipley loamy fine sand,AQUIC QUARTZIPSAMMENTS
016-01-0015,07-Jun-1995,South Carolina,Berkeley,32.9961435,-79.78920531,,moderately well drained,,23.2,Francis Marion National Forest,1000,12.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
016-01-0013,07-Jun-1995,South Carolina,Charleston,33.15713407,-79.49855018,,poorly drained,,23.2,Francis Marion National Forest,1000,6.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,"Dunbar and ardilla fine sandy loams, 0 to 2 percent slopes",
016-01-0014,07-Jun-1995,South Carolina,Charleston,33.15150263,-79.48041879,,moderately well drained,,23.2,Francis Marion National Forest,1000,7.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,Rutlege loamy fine sand,TYPICHUMAQUEPTS
016-01-0016,08-Jun-1995,South Carolina,Berkeley,33.0358179,-79.9905139,,poorly drained,,27.4,Medway Plantation,1000,8.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Lenoir fine sandy loam,AERIC PALEAQUULTS
016-01-0017,08-Jun-1995,South Carolina,Berkeley,33.0425431,-79.98561792,,very poorly drained,,31.7,Medway Plantation,1000,8.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Santee loam,TYPIC ARGIAQUOLLS
016-01-0018,08-Jun-1995,South Carolina,Berkeley,33.03536261,-79.98998368,,poorly drained,,25.6,Medway Plantation,1000,8.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Lenoir fine sandy loam,AERIC PALEAQUULTS
016-02-0001,31-Jul-1995,South Carolina,Charleston,33.17150976,-79.49401524,,poorly drained,,25,Francis Marion National Forest,1000,5.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004495,Pinus palustris / Arundinaria gigantea ssp. tecta - Liquidambar styraciflua / Andropogon glomeratus - Sarracenia minor Woodland,,,,"Hockley loamy fine sand, 0 to 2 percent slopes",PLINTHICPALEUDALFS
016-02-0004,14-Aug-1995,South Carolina,Charleston,33.10322305,-79.51554221,,moderately well drained,,22,Francis Marion National Forest,1000,6.0,-1,0,Interfluve,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,Chipley loamy fine sand,AQUIC QUARTZIPSAMMENTS
016-02-0005,15-Aug-1995,South Carolina,Berkeley,33.24855448,-79.6869784,,poorly drained,,24,Francis Marion National Forest,1000,4.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004495,Pinus palustris / Arundinaria gigantea ssp. tecta - Liquidambar styraciflua / Andropogon glomeratus - Sarracenia minor Woodland,,,,Lynchburg fine sandy loam,AERIC PALEAQUULTS
028-01-0076,20-Aug-1995,South Carolina,Charleston,33.05517034,-79.68785283,,,,,,1000,11.0,,,,5,Bays and wet depressions Tim Nifong,CEGL003734,Taxodium ascendens / Cyrilla racemiflora - Zenobia pulverulenta Woodland,Coastal Plain Small Depression Swamp (Pocosin Shrub Type),11-Jan-2015,,,
016-02-0007,02-Oct-1995,South Carolina,Berkeley,33.24847171,-79.59681407,,moderately well drained,,21,Francis Marion National Forest,1000,7.0,-1,0,[low level+Midslope],5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL007738,Pinus palustris - (Pinus taeda) / Schizachyrium scoparium - Rhynchosia reniformis Woodland,Atlantic Coastal Plain Mesic Longleaf Pine - Little Bluestem Woodland,,,"Craven loam, 0 to 2 percent slopes",AQUICHAPLUDULTS
016-02-0013,19-Oct-1995,South Carolina,Berkeley,33.25850241,-79.68951327,,poorly drained,,25,Francis Marion National Forest,1000,11.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004495,Pinus palustris / Arundinaria gigantea ssp. tecta - Liquidambar styraciflua / Andropogon glomeratus - Sarracenia minor Woodland,,,,Lenoir fine sandy loam,AERIC PALEAQUULTS
027-09-0002,25-May-1996,South Carolina,Berkeley,33.19771911,-79.9465176,,,,15,Francis Marion NF - Wadboo Creek,100,4.0,315,20,,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-09-0001,25-May-1996,South Carolina,Berkeley,33.19777615,-79.94579814,,,,20,Francis Marion NF - Wadboo Creek,100,7.0,0,20,,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-09-0003,25-May-1996,South Carolina,Charleston,32.99661107,-79.61070691,,,,12,Francis Marion NF - Sewee Mound,100,2.0,135,2.5,,5,High Calcium coastal plain Peet & Wentworth,CEGL007282,Celtis laevigata - Tilia americana var. caroliniana / Aesculus pavia Forest,,,2,Seewee complex,AERICALAQUODS
027-09-0004,26-May-1996,South Carolina,Charleston,32.57160969,-80.21467571,,,,14,Fig Island,200,2.0,225,2.5,,5,High Calcium coastal plain Peet & Wentworth,CEGL004635,Persea palustris / Morella cerifera Maritime Forest,Maritime Red Bay Shrub Swamp,,3,,
027-09-0005,26-May-1996,South Carolina,Charleston,32.57098677,-80.21459592,,,,,Fig Island,100,2.0,225,2.5,,5,High Calcium coastal plain Peet & Wentworth,CEGL007813,"Juniperus virginiana var. silicicola - (Quercus virginiana, Sabal palmetto) Forest",Cedar - Live Oak - Cabbage Palmetto Marsh Hammock,04-Aug-2009,3,,
027-09-0006,26-May-1996,South Carolina,Charleston,32.56998384,-80.21577649,,,,23,Fig Island,400,2.0,180,2.5,,5,High Calcium coastal plain Peet & Wentworth,CEGL007026,Quercus virginiana - Quercus hemisphaerica - Pinus taeda - Quercus falcata / Persea palustris Forest,Atlantic Coastal Fringe Evergreen Forest,04-Aug-2009,4,,
027-09-0007,26-May-1996,South Carolina,Charleston,32.57170808,-80.2159852,,,,,Fig Island,100,2.0,135,10,,5,High Calcium coastal plain Peet & Wentworth,CEGL007813,"Juniperus virginiana var. silicicola - (Quercus virginiana, Sabal palmetto) Forest",Cedar - Live Oak - Cabbage Palmetto Marsh Hammock,04-Aug-2009,2,,
027-09-0008,27-Jun-1996,South Carolina,Charleston,32.86119617,-79.76765975,,,,,Buzzard Island,100,1.0,90,2.5,Interfluve,5,High Calcium coastal plain Peet & Wentworth,CEGL003525,Juniperus virginiana var. silicicola - Zanthoxylum clava-herculis - Quercus virginiana - (Sabal palmetto) / Sageretia minutiflora - (Sideroxylon tenax) Woodland,South Atlantic Coastal Shell Midden Woodland,04-Aug-2009,4,,
027-09-0009,27-Jun-1996,South Carolina,Charleston,32.86161397,-79.76795322,,,,12,Buzzard Island,100,1.0,0,2.5,Interfluve,5,High Calcium coastal plain Peet & Wentworth,CEGL007813,"Juniperus virginiana var. silicicola - (Quercus virginiana, Sabal palmetto) Forest",Cedar - Live Oak - Cabbage Palmetto Marsh Hammock,04-Aug-2009,4,,
027-09-0010,27-Jun-1996,South Carolina,Charleston,32.86117876,-79.76772412,,,,,Buzzard Island,400,1.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL004191,Spartina alterniflora Carolinian Zone Herbaceous Vegetation,Southern Atlantic Coast Salt Marsh,,4,,
027-09-0011,27-Jun-1996,South Carolina,Charleston,32.86321961,-79.76430796,,,,,Auld Island,100,2.0,315,10,,5,High Calcium coastal plain Peet & Wentworth,CEGL004308,"Salicornia (virginica, bigelovii, maritima) - Spartina alterniflora Herbaceous Vegetation",Salt Panne (Salicornia Type),,4,,
027-09-0012,27-Jun-1996,South Carolina,Charleston,32.86301677,-79.7638619,,,,,Auld Island,100,2.0,135,2.5,,5,High Calcium coastal plain Peet & Wentworth,CEGL007040,Sabal palmetto - Quercus virginiana Saturated Forest,Palmetto - Live Oak Hydric Hammock,04-Aug-2009,3,,
027-05-0408,15-May-1997,South Carolina,Berkeley,33.20566347,-79.97763316,,,,28,Santee Canal State Park,1000,4.0,36,30,[lowslope+high slope],5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-02-0404,16-May-1997,South Carolina,Berkeley,33.16927355,-79.78913342,Irregularly flooded,,,,Francis Marion NF - Nicholson Creek,1000,6.0,-1,0,Low level,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-04-0407,16-May-1997,South Carolina,Berkeley,33.17405041,-79.77404202,Saturated,,,,Francis Marion NF - Nicholson Creek,1000,7.0,-1,0,Low level,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-07-0410,16-May-1997,South Carolina,Berkeley,33.16364319,-80.01716824,Saturated,,,,Lewisfield Plantation,500,10.0,-1,0,Basin floor,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,,
027-07-0411,16-May-1997,South Carolina,Berkeley,33.1361559,-80.01779678,Seasonally flooded,,,25,Mulberry Plantation,100,9.0,-1,0,Low level,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,,
027-08-0400,16-May-1997,South Carolina,Berkeley,33.20646978,-79.97696929,,,,30,Santee Canal State Park,1000,5.0,88,28,Midslope,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-02-0405,17-May-1997,South Carolina,Berkeley,33.13059795,-79.80782445,Temporarily flooded,,,,Francis Marion NF - Huger Creek,600,2.0,-1,0,Low level,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-04-0408,17-May-1997,South Carolina,Berkeley,33.13748858,-80.02095536,,,,30,Mulberry Plantation,1000,13.0,-1,0,null,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,4,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
027-08-0401,17-May-1997,South Carolina,Berkeley,33.12928476,-79.80915001,Intermittently flooded,,,,Francis Marion NF - Huger Creek,1000,14.0,320,5,Low level,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-04-0409,18-May-1997,South Carolina,Berkeley,33.21914804,-80.33336285,,,,28,Francis Beidler Forest - Powerline Bluff,1000,23.0,280,16,Midslope,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-04-0410,18-May-1997,South Carolina,Berkeley,33.21794586,-80.33120433,,,,,Francis Beidler Forest - Powerline Bluff,1000,23.0,250,14,Midslope,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-07-0413,18-May-1997,South Carolina,Berkeley,33.22212589,-80.3336085,,,,25,Francis Beidler Forest - Powerline Bluff,1000,23.0,,,Midslope,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-07-0414,18-May-1997,South Carolina,Berkeley,33.2230221,-80.33252853,Saturated,,,20,Francis Beidler Forest - Powerline Bluff,100,23.0,,,,5,High Calcium coastal plain Peet & Wentworth,,,,,,,
027-04-0457,04-Jun-1998,South Carolina,Berkeley,33.16410587,-79.99822398,,,,,Lewisfield Plantation,1000,4.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,Wahee loam,AERIC ENDOAQUULTS
027-04-0458,04-Jun-1998,South Carolina,Berkeley,33.16367342,-80.00278667,,,,25,Lewisfield Plantation,1000,3.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,Meggett clay loam,TYPICALBAQUALFS
027-07-0455,04-Jun-1998,South Carolina,Berkeley,33.20458518,-79.5009588,,,,8,Francis Marion NF - Morgan Creek Seep,500,6.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL003660,Pinus palustris - Pinus serotina / Ctenium aromaticum - Muhlenbergia expansa - Rhynchospora latifolia Woodland,Longleaf Pine / Pond Pine Savanna (Wet Ultisol Type),09-Apr-2009,3,,
027-04-0459,05-Jun-1998,South Carolina,Berkeley,33.22252403,-79.61697339,Saturated,,,,Francis Marion NF - Honey Hill,1000,8.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL004501,Pinus palustris - Pinus serotina / Sporobolus pinetorum - (Aristida stricta) - Eryngium integrifolium Woodland,Atlantic Coastal Plain Wet Ultisol Longleaf Pine Savanna,09-Apr-2009,3,,
027-02-0456,05-Jun-1998,South Carolina,Berkeley,33.13761497,-80.00273882,,,,25,Mulberry Plantation,800,2.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,,
027-07-0456,05-Jun-1998,South Carolina,Berkeley,33.22011294,-79.5309534,,,,18,Francis Marion NF - Echaw Road,1000,13.0,-1,0,,5,High Calcium coastal plain Peet & Wentworth,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,09-Apr-2009,3,,
027-07-0457,05-Jun-1998,South Carolina,Berkeley,33.22011294,-79.5309534,Upland,,,15,Francis Marion NF - Echaw Road,1000,13.0,-1,0,Low level,5,High Calcium coastal plain Peet & Wentworth,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,09-Apr-2009,3,"Cainhoy fine sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
027-04-0460,06-Jun-1998,South Carolina,Berkeley,33.16527474,-79.99888629,Saturated,,,20,Lewisfield Plantation,1000,3.0,-1,0,Basin floor,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,Meggett loam,TYPICALBAQUALFS
027-02-0457,06-Jun-1998,South Carolina,Berkeley,33.16311619,-80.00642849,,,,18,Lewisfield Plantation,1000,6.0,5,166,Lowslope,5,High Calcium coastal plain Peet & Wentworth,CEGL007316,Carya cordiformis - Quercus pagoda - Quercus shumardii - Carya myristiciformis / Sabal minor - Cornus asperifolia Forest,Atlantic Coastal Plain Wet Marl Flatwoods Forest,09-Apr-2009,3,Meggett clay loam,TYPICALBAQUALFS
044-04-0606,06-Jun-2000,South Carolina,Berkeley,33.25709411,-79.74356448,Temporarily flooded,,,20,Francis Marion NF - Persimmon Branch,1000,11.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL004085,"Pinus palustris - Pinus (serotina, taeda) / Sporobolus curtissii - Muhlenbergia expansa Woodland",Atlantic Coastal Plain / Wet Ultisol Longleaf Pine Savanna,10-Dec-2012,,Lenoir fine sandy loam,AERIC PALEAQUULTS
044-06-0605,06-Jun-2000,South Carolina,Berkeley,33.15563977,-79.61067993,Seasonally flooded,,,15,Francis Marion NF - Floridian Bay Flatwoods,1000,15.0,-1,0,,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL007419,"Taxodium ascendens / Ilex myrtifolia / Carex (striata, turgescens) Stringer Forest",Pond-cypress Stringer Forest,,4,,
044-07-0605,06-Jun-2000,South Carolina,Berkeley,33.16512587,-79.61210661,,,,18,Francis Marion NF - Floridian Bay Flatwoods,1000,15.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL004084,Pinus palustris / Quercus pumila - Gaylussacia dumosa / Schizachyrium scoparium Woodland,,10-Dec-2012,,Pantego fine sandy loam,UMBRICPALEAQUULTS
044-09-0601,06-Jun-2000,South Carolina,Berkeley,33.16578587,-79.60498627,,,,15,Francis Marion NF - Floridian Bay Flatwoods,1000,13.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,10-Dec-2012,,Chipley-Echaw complex,
044-02-0600,06-Jun-2000,South Carolina,Charleston,32.56916604,-80.18370767,,,,18,Seabrook Island,500,2.0,-1,0,,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL007027,"Quercus virginiana - Quercus hemisphaerica - Pinus taeda / Persea (borbonia, palustris) - Ilex vomitoria Forest",Atlantic Coast Maritime Evergreen Forest,,4,"Crevasse-Dawhoo complex, rolling",
044-02-0601,06-Jun-2000,South Carolina,Charleston,32.57045701,-80.18386643,Temporarily flooded,,,18,Seabrook Island,200,3.0,-1,0,Basin floor,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL003526,Sabal palmetto - (Juniperus virginiana var. silicicola) Woodland,,04-Aug-2009,3,"Crevasse-Dawhoo complex, rolling",
044-02-0602,07-Jun-2000,South Carolina,Berkeley,33.12391125,-79.94121611,,,,23,Mepkin Abby,1000,15.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,10-Dec-2012,,Chipley-Echaw complex,
044-04-0607,07-Jun-2000,South Carolina,Berkeley,33.13929943,-80.0126691,Saturated,,,34,Mulberry Plantation,1000,3.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL007849,Quercus pagoda - Quercus michauxii - Quercus alba / Arundinaria gigantea ssp. tecta - Sabal minor / Chasmanthium laxum Forest,,,3,Meggett clay loam,TYPICALBAQUALFS
044-06-0606,07-Jun-2000,South Carolina,Berkeley,33.16976442,-79.53289886,Seasonally flooded,,,20,Francis Marion NF - Warfield Savanna,1000,4.0,-1,0,Low level,5,SC Longleaf & Maritime For NCVS-00 (SC),CEGL003660,Pinus palustris - Pinus serotina / Ctenium aromaticum - Muhlenbergia expansa - Rhynchospora latifolia Woodland,Longleaf Pine / Pond Pine Savanna (Wet Ultisol Type),10-Dec-2012,,,
051-08-0100,15-Jun-2002,South Carolina,Berkeley,32.96797855,-79.81195163,Intermittently flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,15.0,,,Basin floor,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,15-Dec-2010,4,Chipley-Echaw complex,
051-08-0101,16-Jun-2002,South Carolina,Berkeley,32.96927298,-79.81330442,Seasonally flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007419,"Taxodium ascendens / Ilex myrtifolia / Carex (striata, turgescens) Stringer Forest",Pond-cypress Stringer Forest,16-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0102,19-Jun-2002,South Carolina,Berkeley,32.96212345,-79.81738617,Intermittently flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,16.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0103,21-Jun-2002,South Carolina,Berkeley,32.96226526,-79.81700503,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0110,23-Jun-2002,South Carolina,Berkeley,32.9607045,-79.81546344,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,15.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Chipley-Echaw complex,
051-08-0104,25-Jun-2002,South Carolina,Berkeley,33.05269151,-79.73676027,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
051-08-0105,25-Jun-2002,South Carolina,Berkeley,33.0525556,-79.73689475,Intermittently flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),16-Dec-2010,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
