"point.ID","poly.ID","SUID","ORG","ACTIVITY_C","ACTIVITY","LOCAL_QUAL","ASU_NBR_UN","ASU_UOM","ADMIN_REGI","ADMIN_FORE","ADMIN_DIST","STATE_ABBR","OWNERSHIP_","PROC_REGIO","PROC_FORES","LAND_SUITA","PRODUCTIVI","SLOPE","ELEVATION","ASPECT","MGT_AREA_C","MGT_PRESCR","NBR_UNITS_","NBR_UNITS1","UOM","DATE_PLANN","DATE_ACCOM","DATE_COMPL","FISCAL_YEA","FISCAL_Y_1","FISCAL_Y_2","FY_PLANNED","KEYPOINT","FUND_CODE","METHOD_COD","EQUIPMENT_","COST_PER_U","NEPA_PROJE","NEPA_DOC_N","IMPLEMENTA","IMPLEMEN_1","IMPLEMEN_2","ACCOMPLISH","ACCOMPLI_1","ACTIVITY_1","ACTIVITY_U","FACTS_ID","SUBUNIT","FEATURE_TY","TREATMENT_","ACTIVITY_2","ACTIVITY_S","WORKFORCE_","NEPA_PRO_1","SUID_CN","ISWUI","CWPP","CAT_NM","EQUIPMENT","METHOD","TREATMENT1","STAGE","STAGE_VALU","REV_DATE","DATA_SOURC","DATA_SOU_1","ACCURACY","FS_UNIT_ID","FS_UNIT_NA","CRC_VALUE","ETL_MODIFI","UK","EDW_INSERT","UK_HAZ","CRC_HAZ","ETL_MODI_1","GIS_ACRES","SHAPE_AREA","SHAPE_LEN"
416,246801,"081105RXBFY10051001","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1069,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,1069,1025,"ACRES","2010/03/01","2010/04/05","2010/04/05",2010,2010,2010,2010,"3","WFHF","300","301",35,"10975","(PALS)LOST BEAR EAST PRESCRIBED BURN",NA,NA,NA,NA,NA,"2640629010602","2514442010602","RXBFY10051","001","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR EAST FY10","FA","23564","897885010602","Y","CWPP Equivalent","Fire","Helitorch","Prescribed Burn",NA,3,"Accomplished","2013/08/27","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","BA925A3F0D8831CD","N","0811_9574_ACTP","2017/01/14","2640629010602_081105RXBFY10051001","5B8FD15C98E37A26","2017/02/24",1069.69,0.000431210942476,0.12903251443
416,246802,"081105RXBFY10051001","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1069,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,1069,1025,"ACRES","2012/10/30","2013/03/11","2013/03/12",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"10975","(PALS)LOST BEAR EAST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969533010602","2514442010602","RXBFY10051","001","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR EAST FY10","FA","23564","897885010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","BA925A3F0D8831CD","N","0811_9574_ACTP","2017/01/14","3969533010602_081105RXBFY10051001","5B8FD15CDBD45EF8","2017/02/24",1069.69,0.000431210942476,0.12903251443
417,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
422,246801,"081105RXBFY10051001","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1069,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,1069,1025,"ACRES","2010/03/01","2010/04/05","2010/04/05",2010,2010,2010,2010,"3","WFHF","300","301",35,"10975","(PALS)LOST BEAR EAST PRESCRIBED BURN",NA,NA,NA,NA,NA,"2640629010602","2514442010602","RXBFY10051","001","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR EAST FY10","FA","23564","897885010602","Y","CWPP Equivalent","Fire","Helitorch","Prescribed Burn",NA,3,"Accomplished","2013/08/27","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","BA925A3F0D8831CD","N","0811_9574_ACTP","2017/01/14","2640629010602_081105RXBFY10051001","5B8FD15C98E37A26","2017/02/24",1069.69,0.000431210942476,0.12903251443
422,246802,"081105RXBFY10051001","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1069,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,1069,1025,"ACRES","2012/10/30","2013/03/11","2013/03/12",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"10975","(PALS)LOST BEAR EAST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969533010602","2514442010602","RXBFY10051","001","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR EAST FY10","FA","23564","897885010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","BA925A3F0D8831CD","N","0811_9574_ACTP","2017/01/14","3969533010602_081105RXBFY10051001","5B8FD15CDBD45EF8","2017/02/24",1069.69,0.000431210942476,0.12903251443
1195,250188,"081111WLBPINEMTN000","081111","1111","Broadcast Burning - Covers a majority of the unit","N/A",704,"ACRES","08","11","11","NC","FS","08","16",NA,NA,0,0,NA,NA,NA,704,704,"ACRES","2014/03/22","2014/03/22","2014/03/22",2014,2014,2014,2014,"3","WFHF","300","214",45,"25328","(PALS)HAYSTACK PROJECT",NA,NA,NA,NA,NA,"4208415010602","4347895010602","WLBPINEMTN","000","A","Broadcast Burn","PINE MTN RX BURN","PINE MTN RX BURN","FA","33120","934224010602","Y","None","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2014/06/12","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","E9DB3F692FC9CD07","N","0811_26533_ACTP","2017/01/14","4208415010602_081111WLBPINEMTN000","E8673F4FFC5D3551","2017/02/24",705.003,0.000281979347745,0.0671459128602
1195,250189,"081111WLBPINEMTN000","081111","1111","Broadcast Burning - Covers a majority of the unit","N/A",704,"ACRES","08","11","11","NC","FS","08","16",NA,NA,0,0,NA,NA,NA,704,704,"ACRES","2016/03/08","2016/03/08","2016/03/08",2016,2016,2016,2016,"3","WFHF","300","214",45,"25328","(PALS)HAYSTACK PROJECT",NA,NA,NA,NA,NA,"5010622010602","4347895010602","WLBPINEMTN","000","A","Broadcast Burn","PINE MTN RX BURN","PINE MTN RX BURN","FA","33120","934224010602","Y","None","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2014/06/12","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","E9DB3F692FC9CD07","N","0811_26533_ACTP","2017/01/14","5010622010602_081111WLBPINEMTN000","E8673F4FFCEA6F9F","2017/02/24",705.003,0.000281979347745,0.0671459128602
1255,250902,"0812020000054B01000","081202","6101","Wildlife Habitat Prescribed fire","N/A",545,"ACRES","08","12","02","SC","FS","08","12",NA,NA,0,0,NA,NA,NA,545,545,"ACRES","2010/03/01","2010/05/01","2010/05/01",2010,2010,2010,2010,"6","NFWF","101","303",32,"31003","(PALS)DNR BUZZARDS ROOST",NA,NA,NA,NA,NA,"2628341010602","AU282154010602","0000054B01","000","A","Broadcast Burn","BUZZARD ROOST BURN","BUZZARD ROOST BURN","FA","27130","427698010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Fire",NA,3,"Accomplished","2010/08/31","20","Digitized Other",0,"0812","FRANCIS MARION-SUMTER NATIONAL FOREST","8971C9B329555EE8","N","0812_6152_ACTP","2017/01/14","2628341010602_0812020000054B01000","78ADF777DF9B53D1","2017/02/24",552.388,0.00022010616307,0.0925769387461
1255,250901,"0812020000054B01000","081202","1113","Underburn - Low Intensity (Majority of Unit)","N/A",545,"ACRES","08","12","02","SC","FS","08","12",NA,NA,0,0,NA,NA,NA,545,0,"ACRES","2009/03/01",NA,NA,2009,0,0,2009,"3","WFHF","300","303",35,"NEPA PEND","NEPA Pending",NA,NA,NA,"N","N","AC1682509010602","AU282154010602","0000054B01","000","A","Broadcast Burn","BUZZARD ROOST BURN","BUZZARD ROOST BURN","FA","1432010602","427698010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2010/08/31","20","Digitized Other",0,"0812","FRANCIS MARION-SUMTER NATIONAL FOREST","8971C9B329555EE8","N","0812_6152_ACTP","2017/01/14","AC1682509010602_0812020000054B01000","78ADF7779799A8B5","2017/02/24",552.388,0.00022010616307,0.0925769387461
1271,250901,"0812020000054B01000","081202","1113","Underburn - Low Intensity (Majority of Unit)","N/A",545,"ACRES","08","12","02","SC","FS","08","12",NA,NA,0,0,NA,NA,NA,545,0,"ACRES","2009/03/01",NA,NA,2009,0,0,2009,"3","WFHF","300","303",35,"NEPA PEND","NEPA Pending",NA,NA,NA,"N","N","AC1682509010602","AU282154010602","0000054B01","000","A","Broadcast Burn","BUZZARD ROOST BURN","BUZZARD ROOST BURN","FA","1432010602","427698010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2010/08/31","20","Digitized Other",0,"0812","FRANCIS MARION-SUMTER NATIONAL FOREST","8971C9B329555EE8","N","0812_6152_ACTP","2017/01/14","AC1682509010602_0812020000054B01000","78ADF7779799A8B5","2017/02/24",552.388,0.00022010616307,0.0925769387461
1271,250902,"0812020000054B01000","081202","6101","Wildlife Habitat Prescribed fire","N/A",545,"ACRES","08","12","02","SC","FS","08","12",NA,NA,0,0,NA,NA,NA,545,545,"ACRES","2010/03/01","2010/05/01","2010/05/01",2010,2010,2010,2010,"6","NFWF","101","303",32,"31003","(PALS)DNR BUZZARDS ROOST",NA,NA,NA,NA,NA,"2628341010602","AU282154010602","0000054B01","000","A","Broadcast Burn","BUZZARD ROOST BURN","BUZZARD ROOST BURN","FA","27130","427698010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Fire",NA,3,"Accomplished","2010/08/31","20","Digitized Other",0,"0812","FRANCIS MARION-SUMTER NATIONAL FOREST","8971C9B329555EE8","N","0812_6152_ACTP","2017/01/14","2628341010602_0812020000054B01000","78ADF777DF9B53D1","2017/02/24",552.388,0.00022010616307,0.0925769387461
1296,216596,"0803060000160000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",850,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,810,811,"ACRES","2014/01/10","2014/03/14","2014/03/14",2014,2014,2014,2014,"3","WFHF","300","303",45,"NEPA PEND","NEPA Pending",NA,NA,NA,NA,NA,"4084195010602","4210032010602","0000160000","001","A","Broadcast Burn","RX COMPT 160","WILSON KNOB FY 14","FA","1432010602","917880010602","Y","CWPP","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2014/03/14",NA,NA,0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","FC9F24BF2FC40F3C","N","0803_20447_ACTP","2017/01/14","4084195010602_0803060000160000001","2E5FD77D6DE647ED","2017/02/24",811.338,0.000323972958542,0.110452413015
1301,216596,"0803060000160000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",850,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,810,811,"ACRES","2014/01/10","2014/03/14","2014/03/14",2014,2014,2014,2014,"3","WFHF","300","303",45,"NEPA PEND","NEPA Pending",NA,NA,NA,NA,NA,"4084195010602","4210032010602","0000160000","001","A","Broadcast Burn","RX COMPT 160","WILSON KNOB FY 14","FA","1432010602","917880010602","Y","CWPP","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2014/03/14",NA,NA,0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","FC9F24BF2FC40F3C","N","0803_20447_ACTP","2017/01/14","4084195010602_0803060000160000001","2E5FD77D6DE647ED","2017/02/24",811.338,0.000323972958542,0.110452413015
1303,216596,"0803060000160000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",850,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,810,811,"ACRES","2014/01/10","2014/03/14","2014/03/14",2014,2014,2014,2014,"3","WFHF","300","303",45,"NEPA PEND","NEPA Pending",NA,NA,NA,NA,NA,"4084195010602","4210032010602","0000160000","001","A","Broadcast Burn","RX COMPT 160","WILSON KNOB FY 14","FA","1432010602","917880010602","Y","CWPP","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2014/03/14",NA,NA,0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","FC9F24BF2FC40F3C","N","0803_20447_ACTP","2017/01/14","4084195010602_0803060000160000001","2E5FD77D6DE647ED","2017/02/24",811.338,0.000323972958542,0.110452413015
1308,216596,"0803060000160000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",850,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,810,811,"ACRES","2014/01/10","2014/03/14","2014/03/14",2014,2014,2014,2014,"3","WFHF","300","303",45,"NEPA PEND","NEPA Pending",NA,NA,NA,NA,NA,"4084195010602","4210032010602","0000160000","001","A","Broadcast Burn","RX COMPT 160","WILSON KNOB FY 14","FA","1432010602","917880010602","Y","CWPP","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2014/03/14",NA,NA,0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","FC9F24BF2FC40F3C","N","0803_20447_ACTP","2017/01/14","4084195010602_0803060000160000001","2E5FD77D6DE647ED","2017/02/24",811.338,0.000323972958542,0.110452413015
1319,216794,"0803060000019000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",875,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,870,870,"ACRES","2012/01/24","2012/03/26","2012/03/26",2012,2012,2012,2012,"3","WFHF","300","303",45,"24928","(PALS)CHATTOOGA RIVER RD RX BURNING",NA,NA,NA,NA,NA,"3466529010602","3468126010602","0000019000","001","A","Broadcast Burn","HALE RIDGE RX","HALE RIDGE WEST FY' 16","FA","26311","828939010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2016/03/21","03","GPS  Differentially Corrected Data",0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","841C193F8A30AB29","N","0803_262_ACTP","2017/01/14","3466529010602_0803060000019000001","652C3F26391D32C1","2017/02/24",875.301,0.000349580044889,0.0938395510259
1319,216795,"0803060000019000001","080306","1113","Underburn - Low Intensity (Majority of Unit)","N/A",875,"ACRES","08","03","06","GA","FS","08","05",NA,NA,0,0,NA,NA,NA,870,870,"ACRES","2016/01/24","2016/03/07","2016/03/07",2016,2016,2016,2016,"3","WFHF","300","303",45,"NEPA PEND","NEPA Pending",NA,NA,NA,NA,NA,"4751303010602","3468126010602","0000019000","001","A","Broadcast Burn","HALE RIDGE RX","HALE RIDGE WEST FY' 16","FA","1432010602","828939010602","Y","CWPP Equivalent","Fire","Ping Pong Balls","Prescribed Burn",NA,3,"Accomplished","2016/03/21","03","GPS  Differentially Corrected Data",0,"0803","CHATTAHOOCHEE-OCONEE NATIONAL FOREST","841C193F8A30AB29","N","0803_262_ACTP","2017/01/14","4751303010602_0803060000019000001","652C3F2652944321","2017/02/24",875.301,0.000349580044889,0.0938395510259
